title,locations
alexander-caesar,"['Rome', 'Asia', 'Alpes', 'Troy', 'Spaine', 'Delphos', 'Europe']"
alexander-croesus,"['States', 'Persia', 'Kingdom', 'Greece', 'Asia']"
alexander-darius,"['Euphrates', 'Greece', 'Asia', 'Orient', 'Europe']"
alexander-the-alexandraean-tragedy,"['States', 'South', 'Persia', 'Arabia', 'Athens', 'Greece', 'Asia']"
anon-a-knack-to-know-a-knave,"['Scotland', 'Flanders', 'France', 'Westminster', 'London', 'America', 'Wales', 'England', 'Orient', 'Alpes']"
anon-a-larum-for-london,"['Antwerp', 'States', 'London', 'Europe', 'England']"
anon-alphonsus-emperor-of-germany,"['Germany', 'States', 'Cornwall', 'Rome', 'Troy', 'Ireland', 'South', 'Palestine', 'Wales', 'England', 'Spain', 'Toledo']"
anon-arden-of-faversham,[]
anon-band-cuff-and-ruff,[]
anon-caesar-and-pompey,"['Thessaly', 'France', 'Europe', 'Rome', 'Greece', 'Asia', 'Troy', 'Palestine', 'Arabia', 'Euphrates', 'Nile', 'Orient']"
anon-canterbury-his-change-of-diet,"['Rome', 'England']"
anon-fair-em,['England']
anon-jack-straw,[]
anon-jeronimo-with-the-wars-of-portugal-1,"['Rome', 'Spaine']"
anon-mucedorus-and-amadine,"['Paris', 'Kingdom']"
anon-nero,"['Germany', 'France', 'States', 'Corinth', 'Rome', 'Athens', 'Greece', 'Troy', 'Egypt']"
anon-nobody-and-somebody,"['Iland', 'Westminster', 'States', 'South', 'London', 'Wales', 'England']"
anon-the-contention-between-liberality-and-prodigality,[]
anon-the-london-prodigal,"['Venice', 'London', 'Wales', 'England']"
anon-the-maid-s-metamorphosis,['Delphos']
anon-the-merry-devil-of-edmonton,"['London', 'Cambridge', 'England']"
anon-the-pedlar-s-prophecy,"['Iland', 'Douer', 'England', 'France', 'London', 'Spaine']"
anon-the-reign-of-king-edward-the-third,"['Richmond', 'Scotland', 'Paris', 'France', 'Wales', 'England', 'Spain', 'Fraunce', 'Orient', 'Poland', 'Salisbury']"
anon-the-taming-of-a-shrew,"['Athens', 'Nile', 'Alpes']"
anon-the-trial-of-chivalry,"['Germany', 'France', 'Douer', 'Troy', 'Padua', 'Paris', 'Palestine', 'England', 'Fraunce']"
anon-the-true-chronicle-of-king-leir,"['France', 'Cornwall', 'Persia', 'Fraunce', 'Palermo']"
anon-the-true-tragedy-of-richard-the-third,"['Richmond', 'Scotland', 'Lancaster', 'France', 'Ireland', 'Westminster', 'London', 'Europe', 'Wales', 'England', 'Lancashire', 'Nile', 'Salisbury']"
anon-the-wars-of-cyrus,"['Persia', 'Euphrates', 'Asia']"
anon-wily-beguiled,[]
anon-wine-beer-and-ale-together-by-the-ears,[]
armin-the-two-maids-of-more-clacke,"['Richmond', 'Wales', 'Paris', 'Greece', 'France', 'Ireland', 'London']"
